"","carat","cut","color","clarity","depth","table","price","x","y","z"
"53",0.7,"Ideal","H","VS2",60.8,56,3656,5.74,5.77,3.5
"54",0.71,"Very Good","E","VS1",61.6,59,3464,5.65,5.72,3.5
"55",0.74,"Very Good","H","VS1",62.3,56,2956,5.75,5.78,3.59
"56",0.8,"Very Good","G","SI1",62.1,56,3071,6.01,5.85,3.68
"57",0.9,"Very Good","E","SI1",63.5,55,3508,6.22,6.12,3.92
"58",0.82,"Very Good","E","SI1",62,60,3373,5.96,6,3.71
"59",0.9,"Good","H","SI2",61.3,61,3348,6.11,6.16,3.76
"60",1.27,"Premium","I","I1",60.2,62,3732,7.05,7,4.23
"61",0.73,"Ideal","G","VVS2",61.9,56,3183,5.74,5.81,3.61
"62",0.91,"Ideal","G","SI2",62.7,57,3557,6.15,6.19,3.87
"63",0.75,"Ideal","H","SI1",61.9,55,3011,5.82,5.85,3.61
"64",0.73,"Ideal","G","VS1",61.7,55,2948,5.8,5.84,3.59
"65",0.9,"Fair","E","SI2",57.5,68,3187,6.37,6.33,3.65
"66",0.91,"Fair","F","SI2",64.9,56,3210,6.08,6.05,3.94
"67",0.35,"Ideal","J","IF",61.8,55,569,4.54,4.56,2.81
"68",1,"Premium","I","SI2",61.6,59,3712,6.34,6.41,3.93
"69",0.26,"Good","D","VS1",58.4,63,403,4.19,4.24,2.46
"70",0.81,"Ideal","I","VS2",61.4,55,3355,6.03,6.06,3.71
"71",1.01,"Good","I","SI2",62.6,59,3399,6.24,6.35,3.94
"72",0.81,"Very Good","F","SI1",62.2,56,3308,5.97,5.99,3.72
"73",0.9,"Very Good","I","VS2",63.2,54,3382,6.1,6.08,3.85
"74",0.7,"Ideal","F","SI1",61,56,2840,5.75,5.8,3.52
"75",0.24,"Premium","I","VS1",62.5,57,355,3.97,3.94,2.47
"76",0.7,"Very Good","E","VS2",62.7,58,2843,5.65,5.67,3.55
"77",0.76,"Very Good","H","SI1",60.9,55,2838,5.92,5.94,3.61
"78",0.73,"Very Good","G","VS1",62,57,2825,5.75,5.8,3.58
"79",0.9,"Fair","F","SI2",64.6,56,3613,6.01,6.07,3.9
"80",0.71,"Ideal","E","VS2",62.7,57,2817,5.66,5.64,3.54
"81",0.7,"Ideal","E","SI1",60.1,57,2929,5.78,5.83,3.49
"82",0.7,"Ideal","F","VS1",61.6,54,2839,5.75,5.72,3.53
"83",0.9,"Good","D","SI2",63.9,60,3153,6.07,6.11,3.89
"84",0.34,"Premium","F","SI1",59.8,58,566,4.53,4.57,2.72
"85",0.72,"Ideal","E","SI1",62.5,55,2897,5.69,5.74,3.57
"86",0.72,"Ideal","G","VS2",62.8,56,2805,5.74,5.7,3.59
"87",0.65,"Ideal","D","VVS2",61.4,60,3228,5.54,5.57,3.41
"88",0.31,"Premium","I","VS2",60.7,61,558,4.34,4.32,2.63
"89",0.23,"Very Good","H","VS1",61,57,353,3.94,3.96,2.41
"90",0.71,"Premium","E","VS2",62.2,59,3101,5.79,5.76,3.59
"91",0.72,"Very Good","F","VS1",62.2,57,3229,5.7,5.74,3.56
"92",0.9,"Fair","D","SI2",64.7,54,3205,6.1,6.04,3.93
"93",0.92,"Very Good","F","SI2",59.9,60,3625,6.26,6.29,3.76
"94",0.84,"Premium","E","VS2",62.4,60,3528,6.04,5.98,3.75
"95",0.9,"Very Good","G","SI2",62.4,55,3539,6.13,6.17,3.84
"96",0.36,"Ideal","H","VS2",62.1,55,568,4.57,4.58,2.84
"97",0.75,"Ideal","G","SI1",62.2,55,2760,5.87,5.8,3.63
"98",1.18,"Very Good","E","I1",59.9,63,3219,6.8,6.85,4.09
"99",1.01,"Fair","H","VS1",67.1,59,3676,6.16,6.09,4.11
"100",0.72,"Very Good","F","VS1",63.2,57,3083,5.69,5.73,3.61
"101",0.8,"Very Good","D","VS2",63.1,57,3135,5.94,5.89,3.73
"102",1,"Good","J","SI1",58.7,62,3614,6.47,6.51,3.81
"103",0.24,"Premium","G","VVS1",62.3,59,554,3.95,3.92,2.45
"104",0.77,"Ideal","D","SI2",61.5,55,2885,5.9,5.93,3.64
"105",0.32,"Very Good","H","VS1",61.7,58,561,4.37,4.41,2.71
"106",0.8,"Good","G","SI1",62.7,57,2810,5.84,5.93,3.69
"107",0.31,"Ideal","G","VS2",62.2,53.6,557,4.32,4.35,2.7
"108",0.81,"Ideal","E","SI1",61.5,56,3373,6.01,6.03,3.7
"109",0.9,"Very Good","D","SI2",60.3,63,3534,6.12,6.22,3.72
"110",0.61,"Ideal","G","VVS2",60.1,57,2816,5.52,5.54,3.32
"111",0.7,"Premium","D","VS1",62.5,60,3410,5.67,5.62,3.53
"112",0.78,"Very Good","G","SI2",63.8,56,2759,5.81,5.85,3.72
"113",0.73,"Ideal","I","VS1",61.5,55,2908,5.8,5.84,3.58
"114",0.91,"Very Good","J","VS2",61.6,59,3290,6.13,6.25,3.81
"115",1.03,"Premium","H","I1",61.1,60,3172,6.46,6.51,3.96
"116",0.82,"Very Good","F","VS2",58.7,58,3621,6.1,6.2,3.61
"117",0.32,"Ideal","G","VS2",61.8,55,561,4.41,4.43,2.73
"118",0.72,"Very Good","E","VVS2",61.3,60,3495,5.73,5.76,3.52
"119",0.76,"Very Good","E","VS1",62.1,58,3415,5.84,5.89,3.64
"120",0.73,"Very Good","E","VS1",60.9,61,3370,5.79,5.81,3.53
"121",1.02,"Very Good","J","SI2",63.4,56,3599,6.42,6.36,4.05
"122",0.75,"Ideal","D","SI2",61.3,56,2773,5.85,5.89,3.6
"123",0.7,"Ideal","D","SI1",61.6,57,3471,5.69,5.74,3.52
"124",0.9,"Good","I","IF",63.7,64,3669,6.07,6.02,3.85
"125",1.01,"Premium","H","SI2",60.8,59,3733,6.51,6.46,3.94
"126",0.77,"Ideal","H","VS2",62,56,2763,5.89,5.86,3.64
"127",0.7,"Good","D","VS2",63.4,57,2960,5.6,5.67,3.57
"128",0.96,"Fair","E","SI2",57.7,67,3674,6.49,6.46,3.73
"129",0.22,"Premium","E","VS2",61.6,58,404,3.93,3.89,2.41
"130",0.9,"Very Good","H","SI2",62.1,56,3295,6.13,6.23,3.84
"131",0.32,"Premium","G","VS2",62.3,60,561,4.37,4.4,2.73
"132",0.7,"Very Good","F","VS1",60.1,58,2959,5.73,5.79,3.46
"133",1.01,"Fair","F","SI2",67.3,62,3597,6.09,6.03,4.08
"134",0.91,"Very Good","G","SI2",62.8,59,3006,6.09,6.14,3.84
"135",0.7,"Ideal","E","VS2",62.2,55,3172,5.64,5.67,3.52
"136",0.73,"Very Good","E","VS1",61.5,57,3492,5.78,5.83,3.57
"137",0.31,"Ideal","D","SI1",62.4,56,571,4.33,4.35,2.71
"138",0.74,"Very Good","E","VS1",62.8,59,3416,5.68,5.76,3.59
"139",0.7,"Ideal","H","VVS1",60.2,57,3175,5.78,5.82,3.49
"140",1.01,"Premium","J","SI2",63,60,3421,6.38,6.31,4
"141",0.71,"Ideal","G","VS1",62.3,54,3195,5.68,5.72,3.55
"142",0.9,"Ideal","J","VS1",62.4,56,3498,6.15,6.18,3.85
"143",0.72,"Ideal","E","SI1",61,56,2976,5.82,5.85,3.56
"144",0.32,"Ideal","H","VS1",61.1,56,561,4.44,4.46,2.72
"145",0.9,"Very Good","I","VS2",58.7,60,3709,6.28,6.35,3.71
"146",0.7,"Ideal","G","SI1",61.7,55,2965,5.7,5.73,3.53
"147",0.74,"Very Good","E","SI1",63.5,56,2803,5.74,5.79,3.66
"148",0.74,"Ideal","E","SI1",61.7,56,2779,5.84,5.8,3.59
"149",0.7,"Good","E","VS2",58.7,63,2912,5.69,5.73,3.35
"150",0.7,"Very Good","G","SI2",59,62,2872,5.79,5.81,3.42
"151",0.78,"Ideal","D","SI1",61.2,58,3326,5.92,5.95,3.63
"152",0.72,"Premium","D","SI1",61.4,59,2954,5.71,5.79,3.53
"153",0.96,"Fair","H","VS2",68.8,56,3658,6.11,5.98,4.16
"154",0.7,"Ideal","D","VS1",62,57,3335,5.69,5.76,3.55
"155",0.81,"Ideal","F","SI2",62.6,55,2795,5.92,5.96,3.72
"156",1.15,"Premium","H","SI2",59.6,59,3735,6.82,6.78,4.05
"157",0.9,"Good","D","SI2",63.6,57,3740,6.07,6.03,3.85
"158",0.7,"Very Good","E","SI1",63.5,59,2838,5.53,5.49,3.5
"159",0.31,"Ideal","I","VVS1",62,54,557,4.37,4.4,2.72
"160",0.9,"Good","G","SI1",63.9,60,3512,6.1,6.07,3.89
"161",0.78,"Ideal","H","VS2",61.6,56,2970,5.94,5.91,3.64
"162",1,"Ideal","E","I1",61.8,56,3520,6.38,6.43,3.96
"163",0.9,"Very Good","G","SI1",63.6,57,3649,6.09,6.12,3.88
"164",0.9,"Premium","F","SI2",61.4,58,3556,6.19,6.13,3.78
"165",0.9,"Good","F","SI2",61.3,59,3621,6.12,6.15,3.76
"166",0.76,"Ideal","D","VS2",60.2,56,3293,5.95,5.92,3.57
"167",0.72,"Ideal","F","VS1",61.1,56,3265,5.76,5.79,3.53
"168",0.72,"Premium","F","SI1",61.8,61,2777,5.82,5.71,3.56
"169",0.71,"Very Good","F","VVS1",63.2,60,2862,5.65,5.61,3.56
"170",0.79,"Premium","E","VS1",62.6,56,3583,5.92,5.87,3.69
"171",0.73,"Ideal","E","VS2",62.2,59,3198,5.74,5.77,3.58
"172",0.91,"Good","H","SI1",63.9,60,3485,6.08,6.13,3.9
"173",0.71,"Premium","D","VS2",62.4,59,3161,5.73,5.68,3.56
"174",0.78,"Premium","E","VS2",62.6,57,2970,5.91,5.85,3.68
"175",0.71,"Ideal","G","VS1",60.9,56.6,3123,5.75,5.79,3.52
"176",0.9,"Very Good","J","VS1",62.9,56,3197,6.13,6.18,3.87
"177",0.92,"Very Good","D","SI2",62.5,59,3613,6.2,6.24,3.89
"178",0.32,"Good","E","SI1",62.5,61,564,4.32,4.35,2.71
"179",1,"Premium","J","SI1",61.9,62,3528,6.36,6.33,3.93
"180",0.9,"Ideal","F","SI2",61.9,56,3619,6.18,6.23,3.84
"181",0.7,"Good","D","SI1",62.5,56.7,2872,5.59,5.62,3.51
"182",0.81,"Very Good","G","SI1",62.3,59,3095,5.93,5.98,3.71
"183",0.9,"Ideal","J","VS1",61.6,55,3587,6.24,6.27,3.85
"184",0.7,"Ideal","E","VS2",61.1,59,3201,5.67,5.73,3.48
"185",1,"Good","J","VS2",64.3,59,3580,6.27,6.21,4.01
"186",0.9,"Premium","H","SI1",61,59,3387,6.16,6.11,3.74
"187",0.7,"Ideal","E","VS1",61.8,56,2837,5.74,5.69,3.53
"188",1.01,"Very Good","G","SI2",63.2,58,3275,6.42,6.35,4.04
"189",0.7,"Ideal","G","VS1",61.2,56,3206,5.71,5.75,3.5
"190",0.8,"Premium","F","VS2",59.7,58,3285,6.02,5.97,3.58
"191",0.58,"Ideal","D","VVS1",60.6,57,3206,5.38,5.41,3.27
"192",0.31,"Premium","G","SI1",61.8,58,553,4.35,4.32,2.68
"193",0.78,"Very Good","E","VS1",60.9,57,3420,5.94,5.88,3.59
"194",1,"Fair","F","SI2",65.7,61,3443,6.13,6.11,4.02
"195",0.32,"Ideal","G","VS2",60.3,57,561,4.43,4.46,2.68
"196",0.93,"Fair","I","VS2",64.7,58,3258,6.09,6.06,3.93
"197",0.7,"Ideal","F","VS1",62.4,53,2839,5.73,5.71,3.57
"198",0.74,"Premium","E","VS1",60.9,62,2999,5.83,5.8,3.54
"199",0.9,"Premium","J","VVS2",62.5,61,3459,6.15,6.08,3.82
"200",0.71,"Ideal","H","VS2",61.8,55,3080,5.75,5.78,3.56
"201",0.72,"Ideal","D","VS2",62.6,58,3495,5.7,5.73,3.58
"202",0.71,"Very Good","F","VVS2",60.6,58,3494,5.76,5.79,3.5
"203",0.74,"Ideal","F","VS2",61.9,57,3454,5.79,5.81,3.59
"204",0.82,"Ideal","G","SI1",60.7,57,3123,6.07,6.06,3.68
"205",0.26,"Ideal","E","VS1",62.3,57,556,4.05,4.08,2.53
"206",0.81,"Very Good","F","SI1",61.7,57,2858,6,6.05,3.72
"207",0.74,"Ideal","G","VS2",61.2,56,3434,5.82,5.85,3.57
"208",1.1,"Premium","G","SI2",63,59,3696,6.5,6.47,0
"209",0.7,"Ideal","F","VVS1",62.5,57,3683,5.62,5.67,3.53
"210",0.27,"Ideal","H","IF",61.6,56,566,4.18,4.21,2.58
"211",0.7,"Premium","F","VS1",59,59,2874,5.79,5.77,3.41
"212",0.72,"Ideal","D","SI1",62.2,56,3322,5.77,5.74,3.58
"213",0.91,"Good","E","SI2",64.3,57,3632,6,6.04,3.87
"214",0.9,"Very Good","H","SI2",61.2,57,3481,6.21,6.27,3.82
"215",0.91,"Ideal","F","SI2",62.7,57,3642,6.16,6.21,3.88
"216",0.7,"Ideal","G","VS2",61.6,56,2757,5.7,5.67,3.5
"217",0.3,"Ideal","H","SI2",60,56,408,4.41,4.43,2.65
"218",0.7,"Fair","F","VS1",64.9,59,3039,5.56,5.59,3.62
"219",0.81,"Premium","G","VS2",61.2,60,3084,6,5.99,3.67
"220",0.96,"Premium","I","SI2",62.7,58,3229,6.24,6.2,3.9
"221",0.83,"Very Good","D","SI1",63.5,54,2811,5.98,5.95,3.79
"222",0.72,"Ideal","E","SI1",60.5,55,3409,5.8,5.86,3.53
"223",0.92,"Good","D","SI2",57.8,63,3335,6.36,6.4,3.69
"224",0.77,"Premium","F","VS1",62.7,58,3357,5.82,5.88,3.67
"225",0.31,"Ideal","D","SI1",61.9,57,571,4.33,4.36,2.69
"226",0.72,"Ideal","E","VS2",61.7,55,3427,5.8,5.77,3.57
"227",0.9,"Fair","G","SI1",65.2,59,3250,6.05,6.01,3.93
"228",0.71,"Good","D","VS2",63.3,56,2788,5.64,5.68,3.58
"229",0.73,"Premium","F","VS2",58.7,57,2882,5.97,5.92,3.49
"230",0.7,"Ideal","D","SI1",59.7,58,2822,5.82,5.77,3.46
"231",0.7,"Very Good","D","VS2",61.8,55,2767,5.68,5.72,3.52
"232",0.71,"Ideal","E","VS1",60.4,56,3238,5.8,5.85,3.52
"233",0.77,"Ideal","H","SI1",61.3,56,3089,5.87,5.91,3.61
"234",1,"Premium","F","SI2",59.8,58,3640,6.53,6.48,3.89
"235",0.79,"Ideal","G","SI1",60.3,60,2907,5.98,6.02,3.62
"236",0.82,"Ideal","H","VS2",61.5,56,2804,6.01,6.08,3.72
"237",1,"Premium","J","SI1",60.8,58,3712,6.39,6.44,3.9
"238",0.73,"Ideal","D","VS2",62.3,54,3673,5.77,5.8,3.6
"239",1.03,"Ideal","H","I1",61.5,57,3172,6.48,6.52,4
"240",0.7,"Ideal","D","SI1",61.8,56,3454,5.7,5.72,3.53
"241",1.01,"Fair","H","VS2",65.2,56,3733,6.23,6.19,4.05
"242",0.71,"Ideal","E","VS1",62.4,56,2877,5.75,5.7,3.57
"243",0.79,"Premium","D","SI1",61.4,59,3112,5.89,5.96,3.64
"244",0.7,"Very Good","F","VVS1",63,60,3261,5.59,5.62,3.53
"245",0.8,"Very Good","F","SI2",61,57,2772,6.01,6.03,3.67
"246",1.07,"Premium","G","I1",62.3,60,3547,6.55,6.51,4.07
"247",1.07,"Very Good","H","SI2",61.8,63,3296,6.57,6.47,4.03
"248",0.3,"Very Good","E","VS1",63,57,568,4.25,4.29,2.69
"249",0.91,"Ideal","I","VS2",62.2,59,3726,6.13,6.18,3.83
"250",0.73,"Ideal","G","VVS2",62.1,56,3396,5.78,5.81,3.59
"251",0.8,"Very Good","H","VS1",62.7,56,3144,5.88,5.96,3.71
"252",0.7,"Ideal","H","VVS1",61.5,57,3517,5.69,5.73,3.51
"253",0.91,"Premium","F","SI2",58.9,61,3546,6.36,6.33,3.74
"254",0.33,"Premium","J","VS1",62.8,58,557,4.41,4.38,2.76
"255",0.9,"Good","E","SI2",64.1,57,3139,6.07,6.09,3.9
"256",0.73,"Ideal","F","VVS2",61.7,54,3463,5.82,5.76,3.57
"257",0.36,"Ideal","G","SI1",61.5,54,571,4.6,4.63,2.84
"258",1.1,"Premium","J","SI2",59.6,59,3726,6.74,6.72,4.01
"259",0.32,"Premium","H","VS1",60.2,58,561,4.43,4.47,2.68
"260",0.7,"Ideal","E","VVS2",62.4,54,3585,5.66,5.71,3.55
"261",0.71,"Ideal","E","VS2",60.9,56,3053,5.77,5.83,3.53
"262",1.01,"Fair","E","SI2",67.4,60,2797,6.19,6.05,4.13
"263",1.05,"Very Good","E","I1",62.2,61,3234,6.48,6.51,4.04
"264",0.9,"Very Good","I","VS1",62.6,58,3447,6.14,6.17,3.85
"265",0.57,"Ideal","F","VVS1",61.1,55,3057,5.36,5.44,3.3
"266",0.73,"Very Good","F","SI1",61.7,60,2771,5.79,5.82,3.58
"267",0.75,"Ideal","F","VVS2",61.9,54,3710,5.83,5.84,3.61
"268",0.8,"Premium","D","SI1",61.7,58,3312,5.96,5.93,3.67
"269",0.72,"Very Good","D","SI1",60.5,57,3102,5.85,5.89,3.55
"270",0.87,"Premium","F","SI2",61.6,58,2999,6.14,6.1,3.77
"271",0.51,"Ideal","D","IF",62.1,55,3446,5.12,5.13,3.19
"272",0.71,"Ideal","E","VS2",62.2,57,2776,5.79,5.62,3.55
"273",1.09,"Good","G","SI2",57.4,61,3424,6.82,6.75,3.89
"274",0.98,"Fair","E","SI2",53.3,67,2855,6.82,6.74,3.61
"275",0.73,"Good","E","VS2",63.2,56,2912,5.75,5.76,3.64
"276",0.91,"Good","G","SI2",63.3,57,3340,6.08,6.12,3.86
"277",0.31,"Ideal","F","SI1",61.2,55,568,4.37,4.4,2.68
"278",0.75,"Very Good","F","VVS2",61.1,55,3551,5.85,5.9,3.59
"279",0.71,"Ideal","E","SI1",60.5,56,2823,5.77,5.73,3.47
"280",0.81,"Ideal","E","VS2",62,55,3538,5.99,5.97,3.71
"281",0.72,"Ideal","I","VS2",61.8,55,2918,5.75,5.79,3.56
"282",1.01,"Good","I","VS2",57.1,63,3717,6.6,6.56,3.76
"283",0.91,"Very Good","D","SI2",62.7,59,3298,6.16,6.22,3.88
"284",0.83,"Premium","F","VS2",60.2,60,3557,6.04,6.09,3.65
"285",0.74,"Very Good","E","VVS2",61.9,59,3616,5.74,5.77,3.56
"286",0.81,"Premium","F","SI1",61.9,58,3004,5.99,5.96,3.7
"287",1.01,"Premium","J","SI2",61.8,60,3499,6.37,6.41,3.95
"288",1,"Premium","G","SI2",61.4,61,3713,6.35,6.32,3.89
"289",0.61,"Ideal","G","VVS1",61.2,56,3008,5.46,5.48,3.35
"290",0.7,"Premium","E","SI1",61.2,57,2777,5.73,5.68,3.49
"291",0.72,"Very Good","H","VVS2",60.3,56,2771,5.81,5.83,3.51
"292",0.9,"Ideal","G","SI2",62.4,56,3500,6.14,6.19,3.85
"293",1.06,"Premium","J","SI2",61.3,60,3740,6.59,6.52,4.02
"294",0.72,"Ideal","G","VVS1",61.7,54.8,3548,5.73,5.77,3.55
"295",0.84,"Good","G","VS2",63.6,59,3312,5.94,5.89,3.76
"296",0.73,"Ideal","E","VS1",61.2,57,3620,5.85,5.8,3.57
"297",0.75,"Very Good","E","VS2",62.8,55,3206,5.77,5.79,3.63
"298",0.7,"Ideal","H","SI1",61.4,56,2815,5.72,5.77,3.53
"299",0.71,"Premium","G","VS2",59.8,56,2766,5.89,5.81,3.5
"300",0.9,"Premium","F","SI2",61.4,58,3619,6.13,6.19,3.78
"301",0.9,"Premium","F","SI1",61.3,58,3714,6.13,6.08,3.74
"302",0.7,"Ideal","H","VS1",61.7,55,3004,5.69,5.72,3.52
"303",1.01,"Fair","G","SI2",65.1,58,3461,6.29,6.21,4.07
"304",0.76,"Ideal","F","VS2",61,55,3257,5.89,5.92,3.6
"305",0.92,"Very Good","H","SI2",62.8,59,3417,6.14,6.16,3.86
"306",0.7,"Ideal","F","VVS1",61,57,3602,5.71,5.76,3.5
"307",0.71,"Ideal","E","VS2",61,55,2863,5.79,5.75,3.52
"308",1.03,"Good","G","SI2",63.9,60,3466,6.33,6.37,4.06
"309",0.79,"Very Good","E","SI1",63.2,56,2794,5.91,5.86,3.72
"310",0.88,"Very Good","I","VS1",63.3,55,2996,6.11,6.06,3.85
"311",0.75,"Ideal","E","SI1",61.7,56,2964,5.84,5.86,3.61
"312",0.31,"Ideal","D","SI1",62.6,57,571,4.3,4.33,2.7
"313",0.71,"Premium","F","VS1",59.2,58,2839,5.87,5.82,3.46
"314",0.7,"Ideal","G","VVS1",62.3,57,3123,5.61,5.65,3.51
"315",0.91,"Very Good","G","SI2",63.2,61,3282,6.27,6.01,3.88
"316",0.7,"Ideal","D","VS1",62.9,57,3229,5.67,5.61,3.55
"317",0.9,"Very Good","E","SI1",60.7,61,3689,6.17,6.19,3.75
"318",0.78,"Ideal","I","VS1",61.9,56,3105,5.91,5.94,3.67
"319",0.71,"Ideal","G","VS1",62.9,58,2820,5.66,5.69,3.57
"320",0.62,"Ideal","F","VVS2",61.4,56,3299,5.46,5.5,3.37
"321",1.02,"Fair","J","SI2",65,59,3119,6.34,6.24,4.08
"322",0.23,"Very Good","F","VS1",60,57,402,4,4.03,2.41
"323",0.72,"Ideal","G","VS2",61.9,58,2797,5.72,5.75,3.55
"324",0.76,"Premium","D","VS2",61.7,59,3581,5.87,5.9,3.63
"325",1.5,"Premium","H","I1",60.1,57,3457,7.4,7.28,4.42
"326",0.91,"Very Good","G","SI2",62.1,55,3287,6.16,6.21,3.84
"327",0.9,"Good","E","SI1",62.2,65,3274,6.13,6.08,3.8
"328",0.7,"Very Good","F","VS1",62.1,57,2975,5.69,5.72,3.54
"329",0.7,"Premium","E","VVS2",62.7,53,3007,5.65,5.61,3.53
"330",0.81,"Good","D","SI1",63.9,58,3179,5.9,5.85,3.75
"331",0.7,"Ideal","G","VVS1",60.7,57,3303,5.73,5.76,3.49
"332",0.78,"Ideal","F","VS1",61.6,56,3537,5.9,5.92,3.64
"333",0.74,"Ideal","H","VS1",62.1,55,3254,5.82,5.84,3.62
"334",0.64,"Ideal","G","IF",61.3,56,2790,5.54,5.58,3.41
"335",0.71,"Fair","E","VS2",64.6,59,2902,5.62,5.59,3.62
"336",0.66,"Very Good","E","VVS1",61.8,55,3309,5.6,5.66,3.48
"337",0.9,"Very Good","J","SI2",63.6,58,2860,6.07,6.1,3.87
"338",0.74,"Ideal","D","SI2",61.7,55,2810,5.81,5.85,3.6
"339",0.24,"Very Good","D","VVS1",61.5,60,553,3.97,4,2.45
"340",0.7,"Very Good","D","VS2",63.1,56,2985,5.62,5.69,3.57
"341",0.7,"Good","G","VVS1",58.5,62,3380,5.8,5.82,3.4
"342",0.9,"Good","F","SI2",61.9,62,3267,6.07,6.12,3.77
"343",0.78,"Good","E","SI1",59.4,62,3578,6.02,6.07,3.59
"344",0.76,"Ideal","D","VS2",60.2,56,3352,5.92,5.95,3.57
"345",0.7,"Very Good","G","VVS2",63.4,59,2905,5.62,5.64,3.57
"346",0.7,"Good","D","VS2",63.9,58,3033,5.62,5.58,3.58
"347",0.87,"Ideal","E","SI2",60.4,58,3566,6.19,6.23,3.75
"348",0.9,"Very Good","I","SI1",63.1,54,3211,6.13,6.16,3.88
"349",1,"Premium","G","SI2",59.1,59,3142,6.55,6.48,0
"350",0.79,"Premium","G","VS1",61.3,59,3053,5.97,5.91,3.64
"351",0.7,"Ideal","H","VVS1",61.2,57,2947,5.69,5.72,3.49
"352",1.01,"Very Good","D","SI2",59.1,63,3605,6.54,6.59,3.88
"353",0.72,"Very Good","D","VS1",64.1,57,3375,5.68,5.71,3.65
"354",0.8,"Very Good","F","SI1",63.4,57,2851,5.89,5.82,3.71
"355",1.2,"Premium","I","I1",60.5,58,2925,6.9,6.79,4.14
